Source_Wallet,Dest_Wallet,Timestamp,Amount,Token_Type
A1,B1,2024-01-01 10:01,950,USDT
A1,B2,2024-01-01 10:02,870,USDT
A1,B3,2024-01-01 10:03,920,USDT
A1,B4,2024-01-01 10:04,880,USDT
A1,B5,2024-01-01 10:05,910,USDT

B1,C1,2024-01-01 10:10,300,USDT
B2,C1,2024-01-01 10:11,350,USDT
B3,C1,2024-01-01 10:12,310,USDT
B4,C1,2024-01-01 10:13,330,USDT
B5,C1,2024-01-01 10:14,340,USDT

C1,Z9,2024-01-01 10:20,2100,USDT

# Extra flows from another sender (normal behavior)
D1,E1,2024-01-01 11:00,500,ETH
E1,F1,2024-01-01 11:05,200,ETH

# A small cycle (to test cycle detection)
X1,Y1,2024-01-01 12:00,50,MATIC
Y1,Z1,2024-01-01 12:01,50,MATIC
Z1,X1,2024-01-01 12:02,50,MATIC
